Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
0.59594107,2.6832228,-2.6852064,0.7776761,0.01,-0.01,0.01,0.01,0.0059917853
-1.100862,2.6849012,-1.9562829,2.6856642,0.01,-0.01,0.01,-0.01,-0.0036106852
0.3495078,2.6833754,-1.9477379,1.7383842,0.01,-0.01,0.01,0.01,0.026117193
0.7851529,2.6824598,-1.9065385,2.6859694,0.01,-0.01,0.01,-0.01,-0.0009003845
1.0010681,2.6833754,-1.9225602,1.7705803,0.01,-0.01,0.01,0.01,-0.031779528
1.1414509,2.6832228,-1.9002821,2.6858168,0.01,-0.01,0.01,-0.01,0.007120771
1.2269015,2.6832228,-1.8395514,1.8192573,0.01,-0.01,0.01,0.01,0.019799551
1.2333107,2.6823072,-1.8183413,2.6856642,0.01,-0.01,0.01,-0.01,0.012361495
1.1918063,2.682002,-1.805371,1.839704,0.01,-0.01,0.01,0.01,0.032628044
1.2652016,2.6823072,-1.7609673,2.6856642,0.01,-0.01,0.01,-0.01,0.0133249955
1.2844281,2.6824598,-1.7158008,1.860609,0.01,-0.01,0.01,0.01,0.03992178
1.36759,2.6824598,-1.5352868,2.6858168,0.01,-0.01,0.01,-0.01,0.007276386
1.4357977,2.6824598,-1.4707409,1.9240861,0.01,-0.01,0.01,0.01,0.01783654
1.5944915,2.6824598,-1.485542,2.6856642,0.01,-0.01,0.01,-0.01,0.041709244
1.5651941,2.6824598,-1.5500878,1.9214921,0.01,-0.01,0.01,0.01,0.030708758
1.6419469,2.682002,-1.5668726,2.6858168,0.01,-0.01,0.01,-0.01,0.042815123
1.5873199,2.6823072,-1.5680933,1.8995194,0.01,-0.01,0.01,0.01,0.025563471
1.5444422,2.6823072,-1.5670252,2.6849012,0.01,-0.01,0.01,-0.01,0.02984814
1.4783707,2.6832228,-1.613413,1.886549,0.01,-0.01,0.01,0.01,0.05068562
1.4846268,2.6823072,-1.5986114,2.6858168,0.01,-0.01,0.01,-0.01,0.04147827
1.4847794,2.6833754,-1.5770962,1.8972306,0.01,-0.01,0.01,0.01,0.045054507
