Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
-0.17570782,2.6836805,-1.8540477,2.68719,0.01,0.01,0.01,0.01,0.0059917853
1.0428782,2.6807814,-1.3521781,2.6856642,0.01,0.01,0.01,0.01,0.0009893146
1.2700849,2.682002,-1.4069581,2.6856642,0.01,0.01,0.01,0.01,0.03531719
1.0805678,2.6821547,-1.4632641,2.6859694,0.01,0.01,0.01,0.01,0.012899615
1.0100708,2.6821547,-1.4573132,2.6859694,0.01,0.01,0.01,0.01,-0.013379529
0.90463114,2.6823072,-1.5061417,2.686122,0.01,0.01,0.01,0.01,0.030120771
0.84268,2.6832228,-1.5096512,2.686122,0.01,0.01,0.01,0.01,0.04739955
0.82192713,2.6824598,-1.5268941,2.6858168,0.01,0.01,0.01,0.01,0.044561498
0.75707626,2.6823072,-1.523232,2.6858168,0.01,0.01,0.01,0.01,0.06942804
0.7117567,2.6821547,-1.6208898,2.6858168,0.01,0.01,0.01,0.01,0.054725
0.7288475,2.6823072,-1.6002898,2.6858168,0.01,0.01,0.01,0.01,0.08592178
0.7219801,2.682002,-1.5795376,2.6858168,0.01,0.01,0.01,0.01,0.05787639
0.6995497,2.6821547,-1.6097503,2.6858168,0.01,0.01,0.01,0.01,0.07303654
0.7218275,2.682002,-1.6012053,2.6856642,0.01,0.01,0.01,0.01,0.10150924
0.7117567,2.6823072,-1.623026,2.686122,0.01,0.01,0.01,0.01,0.09510876
0.7804227,2.682002,-1.6060882,2.6856642,0.01,0.01,0.01,0.01,0.11181513
0.7291527,2.682002,-1.6208898,2.6858168,0.01,0.01,0.01,0.01,0.099163465
0.70214367,2.6821547,-1.6124974,2.6856642,0.01,0.01,0.01,0.01,0.10804814
0.70733166,2.682002,-1.5732815,2.6859694,0.01,0.01,0.01,0.01,0.13348563
0.6804758,2.6807814,-1.5729764,2.6858168,0.01,0.01,0.01,0.01,0.12887827
0.6765085,2.682002,-1.5448998,2.6859694,0.01,0.01,0.01,0.01,0.1370545
0.7354088,2.6824598,-1.4916456,2.6856642,0.01,0.01,0.01,0.01,0.1746667
0.74959946,2.682002,-1.4768445,2.686122,0.01,0.01,0.01,0.01,0.15169726
0.710536,2.6823072,-1.4974442,2.6856642,0.01,0.01,0.01,0.01,0.1201276
0.7141981,2.6823072,-1.5363549,2.6858168,0.01,0.01,0.01,0.01,0.1770193
0.74853134,2.6833754,-1.535592,2.686122,0.01,0.01,0.01,0.01,0.16795698
0.6888685,2.6824598,-1.5461205,2.6856642,0.01,0.01,0.01,0.01,0.1870823
0.6900892,2.6833754,-1.6002898,2.6856642,0.01,0.01,0.01,0.01,0.17751928
0.66170746,2.6824598,-1.5952544,2.686122,0.01,0.01,0.01,0.01,0.17699054
0.6702524,2.6823072,-1.602426,2.6859694,0.01,0.01,0.01,0.01,0.20610657
0.6459909,2.6823072,-1.6378272,2.686122,0.01,0.01,0.01,0.01,0.18723425
0.6353092,2.6823072,-1.6292821,2.686122,0.01,0.01,0.01,0.01,0.20432046
0.65682465,2.6823072,-1.6039519,2.6859694,0.01,0.01,0.01,0.01,0.19692305
0.68856335,2.6836805,-1.6515603,2.686122,0.01,0.01,0.01,0.01,0.21451984
