Prediction,Target,Weight,Update
0.029373646,0.06865412,inf,-0.0
0.007858276,0.011972329,0.78582764,-0.00012342156
0.010299683,0.101280734,0.51498413,-0.005458863
0.018844604,0.03327339,0.6281535,-0.0012985908
0.019913197,0.055114787,0.4978299,-0.004224191
0.017623901,0.040227327,0.35247803,-0.003390514
0.025864124,0.042314015,0.43106875,-0.0029609802
0.032272816,0.09423871,0.46104023,-0.0130128395
0.032120228,0.04725658,0.40150285,-0.0036327248
0.036697865,0.10151105,0.40775403,-0.01749956
0.050583363,0.09517956,0.5058336,-0.0133788595
0.046768665,0.06288672,0.42516968,-0.005318959
0.050583363,0.10452378,0.42152804,-0.019418549
0.055466175,0.101967186,0.4266629,-0.018135393
0.061112404,0.092291996,0.43651718,-0.013095429
0.06507969,0.100026354,0.43386456,-0.015726
0.0699625,0.15083435,0.43726563,-0.038818486
0.07850742,0.15464982,0.46180835,-0.038832624
0.08323765,0.11302735,0.46243137,-0.016086439
0.07957554,0.15199044,0.41881862,-0.041276496
0.09162998,0.107001275,0.4581499,-0.009222776
0.08583164,0.14275342,0.40872213,-0.03586072
0.09300327,0.17091614,0.42274216,-0.051422488
0.10292244,0.19532263,0.44748887,-0.06375613
0.114824295,0.103788815,0.47843456,0.007945545
0.08552647,0.19269907,0.34210587,-0.08037946
0.12825203,0.16162047,0.49327704,-0.026027381
0.10917854,0.21442895,0.40436494,-0.08525284
0.13206673,0.21539861,0.47166687,-0.069998786
0.11757088,0.21717957,0.40541682,-0.08665956
0.14305353,0.18418872,0.4768451,-0.037021674
0.12962532,0.15989108,0.4181462,-0.028147161
0.13191414,0.1631858,0.41223168,-0.0300208
0.12840462,0.17468414,0.38910487,-0.045816723
0.1396966,0.1888258,0.41087234,-0.050111786
0.14198542,0.16401999,0.40567264,-0.023136297
0.14183283,0.17488271,0.39398006,-0.035693873
0.15266657,0.22598334,0.41261235,-0.08138161
0.17219782,0.19034413,0.45315215,-0.020686788
0.15159845,0.18114221,0.388714,-0.034566194
0.15877008,0.22706011,0.3969252,-0.081948034
0.17631817,0.23853523,0.43004432,-0.076526985
0.1796751,0.26607886,0.42779788,-0.1
0.19707012,0.19338213,0.4583026,0.0047575105
0.15907526,0.20258826,0.36153468,-0.057437155
0.17952251,0.23860532,0.39893892,-0.07976178
0.19340801,0.2560946,0.4204522,-0.0865075
0.20286846,0.24552053,0.43163502,-0.060139418
0.19539165,0.21364124,0.40706596,-0.026279403
0.18806744,0.2507482,0.3838111,-0.092140704
0.21873856,0.262715,0.4374771,-0.065964684
0.20637798,0.3144536,0.40466273,-0.1
0.22606277,0.28377646,0.43473613,-0.09003335
0.22377396,0.26720434,0.42221504,-0.06905431
0.22758865,0.32108825,0.42146045,-0.1
0.23857498,0.30821183,0.43377268,-0.1
0.2434578,0.3358102,0.43474606,-0.1
0.25185013,0.28180185,0.44184235,-0.051217444
0.23231888,0.317273,0.4005498,-0.1
0.254292,0.33732283,0.43100342,-0.1
0.2555127,0.34461686,0.4258545,-0.1
0.26375246,0.310493,0.43238106,-0.085535176
0.25795412,0.28013727,0.41605502,-0.04126066
0.24696732,0.34619856,0.3920116,-0.1
0.27244997,0.35879764,0.42570308,-0.1
0.27153444,0.3137693,0.41774532,-0.08235799
0.2771802,0.33480415,0.41996998,-0.1
0.2832837,0.3671132,0.4228115,-0.1
0.28618288,0.29991448,0.42085716,-0.028012462
0.26161623,0.37998584,0.37915397,-0.1
0.2982378,0.36284384,0.426054,-0.1
0.30159473,0.3824989,0.42478132,-0.1
0.308156,0.37868863,0.42799446,-0.1
0.31425953,0.38027206,0.4304925,-0.1
0.31761646,0.37835902,0.42921144,-0.1
0.32143116,0.3443586,0.4285749,-0.051586725
0.30434132,0.40223148,0.4004491,-0.1
0.32249928,0.36396298,0.41883025,-0.095781155
0.32524586,0.40761167,0.41698188,-0.1
0.3333335,0.4009896,0.42194113,-0.1
0.3357749,0.4243795,0.41971862,-0.1
0.3406577,0.43142372,0.42056507,-0.1
0.3484397,0.38879395,0.42492646,-0.09927146
0.3371482,0.445136,0.40620264,-0.1
0.33257055,0.38606703,0.39591733,-0.1
0.3383689,0.37186623,0.39808103,-0.08541821
0.33485937,0.46100858,0.38937137,-0.1
0.33852148,0.42119238,0.38910514,-0.1
0.3459983,0.41341797,0.39317986,-0.1
0.3470664,0.3837298,0.38996226,-0.097891234
0.3470664,0.38824245,0.38562936,-0.1
0.35912085,0.43988535,0.39463827,-0.1
0.36171484,0.4801307,0.3931683,-0.1
0.36156225,0.43603197,0.3887766,-0.1
0.37407494,0.50228184,0.39795205,-0.1
0.38246727,0.43478096,0.40259713,-0.1
0.38124657,0.42151666,0.39713186,-0.1
0.37987328,0.49082667,0.39162192,-0.1
0.3946743,0.49664086,0.4027289,-0.1
0.398489,0.46875596,0.40251413,-0.1
