Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
0.40062523,0.03562975,0.7389183,-0.39909935,inf,inf,inf,inf,0.0,-0.0,0.0,-0.0,0.03699708
0.3995571,7.6293945e-05,0.7045851,-0.3597312,39.95571,0.0076293945,70.45851,-35.97312,0.010049583,-0.0019348407,0.019200424,-0.0127290655,0.064570986
0.36308813,0.09697056,0.7143507,-0.2973218,18.154408,4.848528,35.717537,-14.86609,0.015721826,-0.00024522722,0.036797583,-0.023902768,0.10105768
0.30647755,0.10048103,0.6878004,-0.25139236,10.215919,3.3493679,22.926682,-8.3797455,0.023676414,0.005136727,0.057995465,-0.026531877,0.043406285
0.3409629,0.25047684,0.8294039,-0.2010374,8.524073,6.261921,20.735098,-5.025935,0.034300685,0.02344236,0.092913605,-0.030739348,0.055123836
0.4421301,0.41390133,0.947814,-0.15495539,8.842602,8.278027,18.95628,-3.0991077,0.04967248,0.045438163,0.12552506,-0.039890345,0.11098024
0.31303883,0.43846798,1.0572214,-0.086289406,5.217314,7.3078,17.620358,-1.4381568,0.0436975,0.06627474,0.17765036,-0.02818158,0.070274934
0.30678272,0.4569316,1.1184101,-0.060502052,4.3826103,6.527594,15.977287,-0.86431503,0.055963498,0.08749476,0.22640526,-0.021166304,0.04028987
0.2860303,0.4847026,1.1710539,-0.0009918213,3.5753787,6.0587826,14.638174,-0.012397766,0.043991916,0.09167327,0.25639758,-0.02489339,0.10273064
0.24956131,0.53963566,1.2188144,0.019760609,2.7729034,5.9959517,13.542381,0.2195623,0.040146146,0.11846622,0.30184448,-0.021900048,0.1008719
0.2332344,0.5666442,1.2209506,0.060349464,2.332344,5.666442,12.209506,0.60349464,0.030718219,0.13074115,0.3270331,-0.021147266,0.13084035
0.26421022,0.5945678,1.220798,0.107652664,2.4019113,5.405162,11.098164,0.9786606,0.052388214,0.1614062,0.36806217,0.0007242199,0.10545806
0.3345542,0.63256264,1.2420082,0.1860838,2.7879517,5.2713556,10.350069,1.5506983,0.078063205,0.18534623,0.40474665,0.024613865,0.11771195
0.40306664,0.7912564,1.2600136,0.28130007,3.1005127,6.086588,9.692412,2.1638467,0.122672535,0.27406654,0.45688182,0.07518358,0.08852166
0.6841383,0.79232454,1.2856488,0.31761646,4.886702,5.659461,9.183206,2.268689,0.23514736,0.2805856,0.4877818,0.08120818,0.124263674
0.71221447,0.83749104,1.322423,0.36751318,4.7480965,5.5832734,8.816153,2.4500878,0.27635673,0.3327312,0.5509505,0.12124114,0.09808846
0.88052225,0.88052225,1.461585,0.40184593,5.5032644,5.5032644,9.134907,2.511537,0.38241336,0.38241336,0.6613235,0.15264873,0.08382775
