Weights1,Weights2,Weights3,Weights4,Targets
0.0,0.0,0.0,0.0,0.0059917853
-53.56679,265.16367,-120.0656,268.73428,-0.0036106852
51.02997,132.5742,-108.87694,133.6881,0.026117193
89.49162,88.387886,-89.232216,89.07962,-0.0009003845
67.11109,66.29092,-66.94324,66.84023,-0.031779528
53.698025,53.02968,-53.463036,53.46913,0.007120771
44.743267,44.19903,-30.392155,44.560154,0.019799551
38.336113,37.880524,-21.777895,38.227123,0.012361495
33.53075,33.14355,-13.133252,33.448734,0.032628044
29.776285,29.462627,-7.101382,29.737291,0.0133249955
26.771193,26.505684,-1.4137459,26.772718,0.03992178
24.326351,24.09469,18.382267,24.327738,0.007276386
22.288979,22.0868,22.320772,22.288979,0.01783654
20.556835,20.388988,20.5944,20.575615,0.041709244
19.072142,18.931541,19.13209,19.115742,0.030708758
17.79863,17.66944,17.856617,17.841358,0.042815123
16.665236,16.5651,16.747255,16.727228,0.025563471
15.685824,15.589784,15.756736,15.742374,0.02984814
14.79913,14.726228,14.880513,14.866102,0.05068562
14.013805,13.95036,14.092511,14.08448,0.04147827
13.306248,13.252842,13.387122,13.380256,0.045054507
12.656632,12.622481,12.742374,12.738739,0.0780667
12.0750885,12.047345,12.181902,12.153463,0.050497252
11.535489,11.522883,11.65159,11.636332,0.014327597
10.1189575,10.122136,11.154664,11.149577,0.0666193
10.601664,10.596781,10.709087,10.704205,0.052956972
10.193321,10.193321,10.2972,10.293092,0.0674823
9.81692,9.817485,9.8983,9.906212,0.05331927
9.466316,9.465771,9.5398855,9.554054,0.048190534
9.136209,9.13463,9.210924,9.223552,0.07270658
8.835228,8.83421,8.915591,8.917117,0.049234226
8.5502205,8.549236,8.625038,8.6329155,0.06172045
8.279212,8.278258,8.355506,8.359321,0.049723044
8.032488,8.028789,8.098146,8.10647,0.06271982
7.7957897,7.792199,7.8608637,7.8680444,0.04404696
7.5734887,7.572181,7.631472,7.6419353,0.06707082
7.363114,7.359299,7.4305067,7.4309306,0.09181872
7.1636987,7.1603994,7.215661,7.230095,0.079845
6.97518,6.9723697,7.0257754,7.038625,0.07366576
