Predictions1,Predictions2,Predictions3,Predictions4,Targets
-0.687953,1.570077,-0.19874859,2.197528,0.88
1.5067525,2.686122,-0.18410015,2.1950865,0.88
1.5149922,2.6856642,-0.17647076,2.1731138,0.88
1.5029373,2.6859694,-0.17204571,2.2181277,0.88
1.5665674,2.6856642,-0.18043804,2.2686348,0.88
1.6004424,2.686122,-0.16929913,2.2364383,0.88
1.5653467,2.6858168,-0.16212702,2.2782478,0.88
1.1371026,2.68574177,-0.1622796,2.3499656,0.88
1.6384373,2.6858168,-0.15205622,2.3296714,0.88
1.6434727,2.6856642,-0.1509881,2.394064,0.88
1.7481499,2.6856642,-0.16075373,2.379263,0.88
1.7228198,2.6856642,-0.15129328,2.4283972,0.88
1.7362475,2.6858168,-0.138628,2.3902493,0.88
1.7409782,2.6858168,-0.13054085,2.4219885,0.88
1.6410313,2.6858168,-0.1361866,2.4224463,0.88
1.657053,2.6859694,-0.13786507,2.3955898,0.88
1.6753645,2.686122,-0.12916756,2.3403525,0.88
1.70573,2.6859694,-0.12047005,2.3429465,0.88
1.6631575,2.6859694,-0.13267708,2.3087664,0.88
1.6739912,2.686122,-0.11467171,2.3319602,0.88
1.7142749,2.6859694,-0.13511848,2.333181,0.88
1.6738386,2.6859694,-0.12443733,2.3330283,0.88
1.7019153,2.686122,-0.12932014,2.336843,0.88
1.7168689,2.6858168,-0.12642097,2.370718,0.88
1.7383233,2.6692838,-0.14595222,2.3405051,0.88
1.720531,2.6856642,-0.14030647,2.4271765,0.88
1.733501,2.6856642,-0.13664436,2.412528,0.88
1.766613,2.6856642,-0.13389778,2.4187841,0.88
1.7631035,2.686122,-0.13008308,2.4367895,0.88
1.7652397,2.6859694,-0.138628,2.4200048,0.88
1.7530327,2.6859694,-0.13893318,2.4833298,0.88
1.81178,2.6859694,-0.13908577,2.466392,0.88
1.7815676,2.686122,-0.13984871,2.4380102,0.88
1.8349738,2.6859694,-0.13267708,2.4833298,0.88
1.8484015,2.686122,-0.13038826,2.4903488,0.88
1.8398566,2.6859694,-0.147326,2.4796672,0.88
0.13466072,1.0137329,-0.15083551,2.4930954,0.88
1.8751049,2.6856642,-0.14229012,2.4758525,0.88
1.9059281,2.6856642,-0.14259529,2.436942,0.88
1.9371026,2.68540506,-0.13405037,2.4500651,0.88
1.9475851,2.686122,-0.14015388,2.4050512,0.88
1.9585714,2.6849012,-0.13908577,2.388113,0.88
1.98909,2.686122,-0.14259529,2.4172583,0.88
2.0293736,2.6847486,-0.1485467,2.3614097,0.88
2.0386815,2.6859694,-0.14747858,2.364767,0.88
1.9983978,2.6858168,-0.1671629,2.361257,0.88
1.9680319,2.6858168,-0.16426325,2.3330283,0.88
1.9996185,2.6859694,-0.170825,2.2962542,0.88
1.890974,2.686122,-0.17067242,2.3551536,0.88
1.9617758,2.6859694,-0.16945171,2.3527122,0.88
1.9292741,2.686122,-0.1573968,2.3830776,0.88
1.9291215,2.6858168,-0.15968561,2.408866,0.88
1.9877167,2.6858168,-0.16594172,2.4576945,0.88
0.13588142,0.9584956,-0.16472101,2.46273,0.88
1.9156938,2.6856642,-0.1573968,2.4444194,0.88
