Predictions1,Predictions2,Predictions3,Predictions4,Targets
0.1674676,2.684596,-2.6791027,1.8900585,0.0059917853
-0.23170853,2.6844435,-2.6780345,2.6836805,0.0030893148
0.7093153,2.6836805,-2.5727472,2.684596,0.039517194
0.8648052,2.682002,-2.527886,2.6873426,0.019199615
0.9136338,2.6824598,-2.5130847,2.6870375,-0.0049795285
0.9461355,2.6823072,-2.4975204,2.6870375,0.04062077
1.0172424,2.6823072,-2.4898908,2.6873426,0.05999955
1.0170898,2.6821547,-2.5178149,2.6868849,0.059261497
1.1268024,2.6824598,-2.5153735,2.6868849,0.08622804
1.1416035,2.682002,-2.5353627,2.6870375,0.073625
1.2220187,2.6823072,-2.521477,2.6870375,0.10692178
1.2439919,2.6823072,-2.5117114,2.6870375,0.08097638
1.2552834,2.6821547,-2.525292,2.6868849,0.09823654
1.1991305,2.682002,-2.498436,2.6870375,0.12880924
1.2024875,2.6821547,-2.4911118,2.6868849,0.12450876
1.1857023,2.682002,-2.468223,2.6868849,0.14331512
1.1429768,2.682002,-2.4726484,2.68719,0.13276348
1.1966891,2.6823072,-2.4570842,2.6873426,0.14374813
1.1515217,2.6823072,-2.4363317,2.6873426,0.17128563
1.1939425,2.6821547,-2.424277,2.6836805,0.16877827
0.6914625,2.7178612,-2.4267185,2.6836805,0.1790545
1.1853971,2.6823072,-2.420615,2.6836805,0.2187667
1.23209,2.682002,-2.4277866,2.683528,0.19789726
1.2101169,2.6821547,-2.4572368,2.6836805,0.1684276
1.2587929,2.6824598,-2.639887,2.6832228,0.2274193
1.1968417,2.6823072,-2.629206,2.6836805,0.22045697
1.2256808,2.6823072,-2.4314487,2.683528,0.24168229
1.2149997,2.6824598,-2.2715342,2.6833754,0.23421928
1.2063022,2.6823072,-2.2082093,2.68719,0.23579054
1.1663237,2.6824598,-2.1947813,2.6870375,0.26700658
1.1623564,2.682002,-2.2114136,2.6868849,0.25023422
1.2027926,2.6821547,-2.1984437,2.6870375,0.26942044
1.1931796,2.682002,-2.20943,2.68719,0.26412305
1.2236972,2.6821547,-2.2225528,2.68719,0.28381982
1.1927218,2.6821547,-2.221332,2.6870375,0.27184695
1.2514687,2.6823072,-2.2065308,2.6870375,0.30157083
1.2404823,2.6810865,-2.2091248,2.6870375,0.33301872
1.3115894,2.6821547,-2.2091248,2.6870375,0.327745
1.3381397,2.6821547,-2.2274356,2.6868849,0.32826576
1.2906842,2.6824598,-2.2312503,2.6870375,0.34152952
1.2891583,2.6823072,-2.2375069,2.6868849,0.3441333
1.3208972,2.6824598,-2.2199588,2.6868849,0.34702575
