Predictions1,Targets
-0.67833996,-0.013834208
-0.62218666,0.011170182
0.99786377,0.0024048584
2.155871,-0.058572166
2.6882582,0.009264741
2.6873426,0.021099402
2.684596,-0.013647214
2.682002,0.037928183
2.6798658,0.043907113
2.6763563,0.058538366
2.6751351,0.030540576
2.6725411,0.0690151
2.6723886,0.08393401
2.6697946,0.06584781
2.6676583,0.09570539
2.6687264,0.080029756
2.666285,0.09694116
2.667811,0.09729332
2.6675057,0.07719746
2.6690316,0.09986776
2.6690316,0.10955686
2.668879,0.105548434
2.7163353,0.10179551
2.6713204,0.08986509
2.6746774,0.14866579
2.680934,0.11354638
2.6774244,0.12744823
2.6832228,0.1498152
2.6868849,0.15152302
-0.28648806,0.18487933
-2.67895,0.19114701
-2.434043,0.16580737
-2.670863,0.19793473
-2.3752956,0.18424852
-2.6742198,0.21137595
-2.6716259,0.18813618
-2.6754405,0.2006341
-2.5854125,0.21571642
-2.6781871,0.21683072
-2.6768138,0.2349666
-2.6781871,0.21416146
0.571527,0.18598866
1.9533834,0.23876096
1.9715414,0.2499148
2.686122,0.2986838
2.6833754,0.28297153
2.67834,0.26517427
2.6751351,0.24714762
2.6726937,0.22596282
2.6736093,0.27327502
2.6700997,0.28213263
2.6711679,0.284237
2.6664376,0.28900167
2.6697946,0.3310367
2.667811,0.30843902
2.668879,0.33154106
2.6699471,0.31412888
2.6697946,0.31353202
2.6675057,0.34475666
2.6650643,0.3301325
2.6675057,0.33692613
2.6615548,0.34373283
2.6565194,0.36429188
2.6543832,0.34356597
2.6565194,0.37219945
2.6531625,0.3843428
2.6543832,0.3705959
2.6519418,0.38792428
2.6517892,0.39406064
2.6516366,0.427728
2.6516366,0.3868734
2.6517892,0.42373535
2.651484,0.40214735
2.6516366,0.42675823
2.6517892,0.39973408
2.6516366,0.4213321
2.6516366,0.43012
2.6519418,0.45480484
2.6516366,0.43521252
2.6519418,0.46216494
2.6519418,0.4532346
2.6516366,0.5344505
2.6519418,0.47342426
2.6517892,0.46391606
2.6516366,0.47528625
2.6517892,0.49772945
2.6517892,0.50020146
2.6516366,0.48943615
2.6517892,0.5492887
2.6516366,0.5093691
2.6516366,0.5126086
2.6516366,0.52808505
2.651484,0.53014445
2.6519418,0.5333943
2.6519418,0.5548316
2.6516366,0.49375933
2.6519418,0.51273495
2.6517892,0.55174935
2.6517892,0.56616473
2.6519418,0.6121588
2.6517892,-0.013834208
-2.647364,0.011170182
-2.6472113,0.0024048584
-2.647364,-0.058572166
-2.6520944,0.009264741
-2.663081,0.021099402
-2.671931,-0.013647214
-2.6769664,0.037928183
-2.6792552,0.043907113
-0.49019623,0.058538366
1.1805143,0.030540576
2.6005192,0.0690151
2.68719,0.08393401
2.683528,0.06584781
2.6832228,0.09570539
2.680934,0.080029756
2.6786451,0.09694116
2.6787977,0.09729332
2.6771193,0.07719746
2.677577,0.09986776
2.67834,0.10955686
2.7308311,0.105548434
2.6589608,0.10179551
2.6578927,0.08986509
2.6551461,0.14866579
2.654078,0.11354638
2.6528573,0.12744823
2.6528573,0.1498152
2.6870375,0.15152302
2.6823072,0.18487933
2.6798658,0.19114701
2.6786451,0.16580737
2.6737618,0.19793473
2.6700997,0.18424852
2.6675057,0.21137595
2.6737618,0.18813618
2.6739144,0.2006341
0.55352116,0.21571642
0.1384759,0.21683072
-2.6769664,0.2349666
0.65972376,0.21416146
1.3076215,0.18598866
2.6870375,0.23876096
2.6836805,0.2499148
2.6746774,0.2986838
2.6725411,0.28297153
2.6725411,0.26517427
2.7215233,0.24714762
2.6697946,0.22596282
2.6690316,0.27327502
2.6690316,0.28213263
2.6673532,0.284237
2.666285,0.28900167
2.6612496,0.3310367
2.6588082,0.30843902
2.6589608,0.33154106
2.656672,0.31412888
2.6543832,0.31353202
2.6539254,0.34475666
2.6528573,0.3301325
2.6517892,0.33692613
2.6517892,0.34373283
2.7056532,0.36429188
2.6517892,0.34356597
2.6517892,0.37219945
2.6517892,0.3843428
2.6517892,0.3705959
2.6519418,0.38792428
2.6517892,0.39406064
2.651484,0.427728
2.6517892,0.3868734
2.6517892,0.42373535
2.6519418,0.40214735
2.6519418,0.42675823
2.6519418,0.39973408
2.651484,0.4213321
2.6519418,0.43012
2.6519418,0.45480484
2.6516366,0.43521252
2.6517892,0.46216494
2.6519418,0.4532346
2.6516366,0.5344505
2.6516366,0.47342426
2.651484,0.46391606
2.6516366,0.47528625
2.651484,0.49772945
2.6519418,0.50020146
2.6516366,0.48943615
2.6516366,0.5492887
2.6516366,0.5093691
2.6516366,0.5126086
2.651484,0.52808505
2.6516366,0.53014445
2.6519418,0.5333943
2.651484,0.5548316
2.6516366,0.49375933
2.6517892,0.51273495
2.651484,0.55174935
2.6517892,0.56616473
2.6517892,0.6121588
2.6516366,-0.013834208
-2.6472113,0.011170182
-2.6472113,0.0024048584
-2.6472113,-0.058572166
-2.6472113,0.009264741
-2.6472113,0.021099402
-2.647364,-0.013647214
-2.6472113,0.037928183
-2.647364,0.043907113
-2.6472113,0.058538366
-2.647364,0.030540576
-2.647364,0.0690151
-2.647364,0.08393401
-2.338369,0.06584781
-2.6472113,0.09570539
-2.648432,0.080029756
-2.6508734,0.09694116
-2.6537728,0.09729332
-2.654841,0.07719746
-2.6569772,0.09986776
-2.6598763,0.10955686
-2.6618602,0.105548434
-2.663386,0.10179551
-2.66598,0.08986509
-2.6681163,0.14866579
-2.283589,0.11354638
-2.6717784,0.12744823
-2.6731517,0.1498152
-2.6755931,0.15152302
-2.6765087,0.18487933
-2.6780345,0.19114701
-2.6791027,0.16580737
-2.1296253,0.19793473
-0.9028001,0.18424852
0.12474251,0.21137595
1.262455,0.18813618
2.6884108,0.2006341
2.6856642,0.21571642
2.6847486,0.21683072
2.6832228,0.2349666
2.6812391,0.21416146
2.6798658,0.18598866
2.677577,0.23876096
2.6758986,0.2499148
2.67483,0.2986838
2.6726937,0.28297153
2.6711679,0.26517427
2.6711679,0.24714762
2.6697946,0.22596282
2.6676583,0.27327502
2.665217,0.28213263
2.6638436,0.284237
2.6627755,0.28900167
2.6601815,0.3310367
2.7077894,0.30843902
2.6568246,0.33154106
2.655604,0.31412888
