FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,1789920.1,-348971.44,1823621.5,-11.032266
0.5,1514312.1,-435925.75,1575808.6,-16.059546
1,1490246.4,-429977.22,1551036.6,-16.09431
5,1474433.6,-423910.1,1534162.5,-16.040316
10,1496436.5,-363822.75,1540028.9,-13.6649685
50,1500309.4,-245683.84,1520292.4,-9.299953
100,1501562.9,-252980.27,1522724.6,-9.563267
250,1465571.1,-351399.38,1507109.9,-13.483249
500,1356624.1,-532794.1,1457497.4,-21.441685
1000,1047993,-761465.8,1295422.5,-36.00194
