FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,1479441.9,-358049.44,1522152.4,-13.604931
0.5,1494536.1,-155810.27,1502636.1,-5.951771
1,1493602,-92159.61,1496442.6,-3.5308404
5,1495687.3,-26911.17,1495929.4,-1.0307837
10,1491738.4,-22675.979,1491910.8,-0.8708885
50,1488841.4,-37408.965,1489311.3,-1.4393238
100,1484612.4,-66154.84,1486085.6,-2.5514317
250,1459134.9,-178011.8,1469953.4,-6.9556084
500,1371808.4,-367860.5,1420274.5,-15.011127
1000,1092701.3,-628639.7,1260628.4,-29.912157
