FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,1478971.1,-364135.22,1523138.3,-13.831601
0.5,1490780.6,-174101.23,1500912.4,-6.6611295
1,1490325.1,-109026.53,1494307.8,-4.184088
5,1493785.1,-35197.348,1494199.8,-1.3497834
10,1490314.4,-29758.74,1490611.5,-1.1439356
50,1487143.1,-43457.797,1487777.9,-1.6738402
100,1482935,-71980.45,1484680.9,-2.7789092
250,1457295.1,-184144.83,1468883.4,-7.2017655
500,1368462.5,-375584.1,1419067.6,-15.3473215
1000,1092311.6,-626615.2,1259282.1,-29.841156
